Query ID,Query Name,Ground Truths,Pred 1,Pred 2,Pred 3,Pred 4,Pred 5
4897,learning health system,delivery of health care,"health care quality , access , and evaluation",comprehensive health care,patient care management,health care evaluation mechanisms,health planning
1784,commitment of mentally ill,forensic psychiatry,hospitalization,patient rights,mental disorders,human rights,"insurance , health"
7018,product labeling,product packaging,product packaging,"technology , pharmaceutical",industry,manufactured materials,manufacturing industry
4110,"hepatitis , autoimmune","autoimmune diseases; hepatitis , chronic",hepatitis,immune system diseases,disease attributes,virus diseases,nutritional and metabolic diseases
3585,"genes , cdc",genes,"genes , regulator",genes,"genes , immunoglobulin","genes , viral","genes , microbial"
1743,collapse therapy,pulmonary surgical procedures,respiratory therapy,emergency treatment,thoracic surgical procedures,"diagnostic techniques , respiratory system",respiratory function tests
1765,color,light,visual perception,ocular physiological phenomena,perception,manufactured materials,sensation
4926,"lens implantation , intraocular",refractive surgical procedures,prosthesis implantation,eye diseases,ocular physiological phenomena,eye,microscopy
2456,"dna , mitochondrial","dna , circular",dna,chromosomes,"receptors , cytoplasmic and nuclear","receptors , cell surface",genome
1932,"contraceptive devices , male",contraceptive devices,"contraceptive devices , female",contraceptive devices,contraception,equipment and supplies,surgical equipment
3535,gene conversion,homologous recombination,"recombination , genetic",mutagenesis,mutation,genetic phenomena,genetic variation
6801,platelet transfusion,blood component transfusion,blood component transfusion,blood transfusion,blood physiological phenomena,hematologic diseases,hematologic tests
6720,pituitary hormone release inhibiting hormones,hypothalamic hormones,pituitary hormones,peptide hormones,hormones,"hormones , hormone substitutes , and hormone antagonists",hormone antagonists
518,"antigens , ly","antigens , differentiation","antigens , surface",antigens,"antigens , viral",biomarkers,biological factors
6165,olfactory nerve,cranial nerves,cranial nerves,peripheral nerves,nervous system,peripheral nervous system,sense organs
1885,conscious sedation,anesthesia and analgesia,"signs and symptoms , respiratory",respiration disorders,anesthesia,signs and symptoms,anesthesia and analgesia
9436,zinc acetate,acetic acid,zinc compounds,oxides,ions,anions,oxygen compounds
1783,commission on professional and hospital activities,medical audit,financial management,health facility administration,"quality assurance , health care",hospital administration,organization and administration
325,ambulatory surgical procedures,"surgical procedures , operative","surgical procedures , operative",thoracic surgical procedures,minimally invasive surgical procedures,"diagnostic techniques , surgical",transplantation
3993,health status disparities,health status,population characteristics,health status,health status indicators,socioeconomic factors,health surveys
665,atrial septum,heart septum,heart septum,heart,cardiovascular system,cardiovascular physiological phenomena,sense organs
2565,"drug resistance , multiple , bacterial","drug resistance , bacterial; drug resistance , multiple","drug resistance , bacterial","drug resistance , microbial",bacterial physiological phenomena,microbiological phenomena,drug resistance
7273,radiation oncology,radiology; medical oncology,internal medicine,medicine,biological science disciplines,"surgical procedures , operative",physical and rehabilitation medicine
3082,eye foreign bodies,eye injuries; foreign bodies,anterior eye segment,eye,ocular physiological phenomena,retina,eye diseases
4426,immunoglobulin switch region,"gene components; genes , immunoglobulin heavy chain","regulatory elements , transcriptional",gene components,"regulatory sequences , nucleic acid",molecular structure,protein structural elements
2808,"encephalitis virus , japanese","encephalitis viruses , japanese","encephalitis viruses , japanese",encephalitis viruses,hepatitis viruses,viruses,rna viruses
1117,cancer care facilities,"hospitals , special",ambulatory care facilities,health facilities,hospital units,"hospitals , special",hospitals
1557,chromosome fragile sites,"dna sequence , unstable",chromosome aberrations,chromosomes,mutagenesis,mutation,protein structural elements
1950,copper,"transition elements; metals , heavy","metals , heavy",transition elements,"metals , light",elements,metals
5676,mouth floor,mouth,mouth,face,sense organs,head,eye
3316,flour,food,"crops , agricultural",food,food and beverages,plant preparations,biological products
6,aaa proteins,carrier proteins,proteins,carrier proteins,glycoproteins,blood proteins,membrane proteins
2643,"edema , cardiac",edema; heart failure,"arrhythmias , cardiac",heart diseases,cardiac conduction system disease,"heart defects , congenital",myocardial ischemia
496,"antibodies , fungal",antibodies,antibodies,blood proteins,vaccines,proteins,glycoproteins
4169,higher nervous activity,mental processes; nervous system physiological phenomena,nervous system physiological phenomena,musculoskeletal and neural physiological phenomena,mental processes,peripheral nervous system,sensation
1524,cholesterol esters,cholesterol,cholesterol,fatty acids,lipids,lipoproteins,carrier proteins
6177,"oncogene proteins , fusion",mutant chimeric proteins; oncogene proteins,oncogene proteins,viral proteins,viral structural proteins,membrane proteins,antibodies
507,"anticipation , psychological",mental processes,mental processes,thinking,emotional intelligence,behavior and behavior mechanisms,probability
1838,comprehensive dental care,comprehensive health care,dental care,dental health services,dentistry,patient care,comprehensive health care
3001,ethiopia,"africa , eastern","africa , eastern",viruses,virus diseases,asia,geographic locations
7607,respiratory sinus arrhythmia,heart rate,"signs and symptoms , respiratory",respiration disorders,"arrhythmias , cardiac",vital signs,signs and symptoms
4621,"intensive care units , neonatal","intensive care units , pediatric","intensive care units , pediatric",intensive care units,hospital units,health facilities,comprehensive health care
2817,endocrine surgical procedures,"surgical procedures , operative",minimally invasive surgical procedures,"surgical procedures , operative",thoracic surgical procedures,transplantation,orthopedic procedures
2582,"drugs , chinese herbal",plant extracts; pharmaceutical preparations,pharmaceutical preparations,dosage forms,biological products,plant preparations,biomedical and dental materials
7311,"range of motion , articular",physical examination; musculoskeletal physiological phenomena,musculoskeletal physiological phenomena,orthopedic procedures,movement,musculoskeletal and neural physiological phenomena,joint diseases
5081,los angeles,cities; california,cities,great lakes region,united states,geographic locations,spatial concept
8254,sodium hydroxide,sodium compounds,sodium compounds,elements,metals,intestinal diseases,body regions
2715,"electrodes , implanted",electrodes,electrical equipment and supplies,prosthesis implantation,surgical equipment,equipment and supplies,radiation
3988,health services misuse,health services; attitude to health,drug therapy,surveys and questionnaires,drug administration routes,public health practice,health surveys
4887,law enforcement,"social control , formal",crime,forensic medicine,united states government agencies,violence,forensic sciences
2729,electronic mail,correspondence as topic,communications media,computer systems,language,management information systems,computing methodologies
5833,negative staining,staining and labeling,staining and labeling,eye diseases,"chemistry techniques , analytical","receptors , cell surface","receptors , cytoplasmic and nuclear"
6361,palliative care,patient care,perioperative care,patient care,primary health care,nursing care,comprehensive health care
5940,neutrophil activation,immune system phenomena,immune system phenomena,immunity,signal transduction,biological factors,cytokines
7433,"receptors , sigma","receptors , opioid","receptors , opioid","receptors , cytokine","receptors , cell surface","receptors , growth factor","receptors , cytoplasmic and nuclear"
3430,"fractures , compression","fractures , bone","fractures , bone",skull fractures,wounds and injuries,mechanical phenomena,orthopedic procedures
8057,sibling relations,family relations,family relations,interpersonal relations,social behavior,family,"psychology , social"
7064,prostatic secretory proteins,seminal plasma proteins,intracellular signaling peptides and proteins,membrane proteins,intercellular signaling peptides and proteins,"genital diseases , male",antigens
2492,dna transformation competence,"transformation , bacterial; genetic phenomena","recombination , genetic",genetic phenomena,body constitution,immune system phenomena,dna
3302,fish diseases,animal diseases,animal diseases,mycobacterium infections,bacterial infections,"genital diseases , male",animal population groups
9143,vascular patency,cardiovascular physiological phenomena,vascular diseases,cardiovascular physiological phenomena,vascular surgical procedures,blood circulation,cardiovascular surgical procedures
7693,ring chromosomes,chromosome aberrations; chromosomes,chromosomes,chromosome structures,"chromosomes , mammalian","chromosomes , human","chromosomes , artificial"
5323,medical informatics computing,medical informatics,medical informatics applications,medical informatics,information systems,informatics,information storage and retrieval
3261,fibrin clot lysis time,hematologic tests; blood physiological phenomena,digestive system and oral physiological phenomena,nutritional physiological phenomena,"diet , food , and nutrition",digestive system diseases,metabolism
4286,"hospitals , voluntary","hospitals , private","hospitals , private",hospitals,"hospitals , special","hospitals , public",sociology
5742,"mutation , missense",mutation,mutagenesis,mutation,protein structural elements,pathologic processes,molecular structure
3986,health services for persons with disabilities,health services,health services,community health services,mental health services,nursing services,pharmaceutical services
1163,"carcinoma , lewis lung","neoplasms , experimental; carcinoma",adenocarcinoma,carcinoma,neoplasms by histologic type,lung diseases,respiratory tract diseases
